date,total_cases,total_deaths,total_vaccinations,positive_rate
2020-01-01,0.0,0.0,0.0,
2020-01-02,0.0,0.0,0.0,
2020-01-03,0.0,0.0,0.0,
2020-01-04,0.0,0.0,0.0,
2020-01-05,0.0,0.0,0.0,
2020-01-06,0.0,0.0,0.0,
2020-01-07,0.0,0.0,0.0,
2020-01-08,0.0,0.0,0.0,
2020-01-09,0.0,0.0,0.0,
2020-01-10,0.0,0.0,0.0,
2020-01-11,0.0,0.0,0.0,
2020-01-12,0.0,0.0,0.0,
2020-01-13,0.0,0.0,0.0,
2020-01-14,0.0,0.0,0.0,
2020-01-15,0.0,0.0,0.0,
2020-01-16,0.0,0.0,0.0,
2020-01-17,0.0,0.0,0.0,
2020-01-18,0.0,0.0,0.0,
2020-01-19,0.0,0.0,0.0,
2020-01-20,0.0,0.0,0.0,
2020-01-21,0.0,0.0,0.0,
2020-01-22,0.0,0.0,0.0,
2020-01-23,0.0,0.0,0.0,
2020-01-24,0.0,0.0,0.0,
2020-01-25,0.0,0.0,0.0,
2020-01-26,0.0,0.0,0.0,
2020-01-27,0.0,0.0,0.0,
2020-01-28,0.0,0.0,0.0,
2020-01-29,0.0,0.0,0.0,
2020-01-30,0.0,0.0,0.0,
2020-01-31,0.0,0.0,0.0,
2020-02-01,0.0,0.0,0.0,
2020-02-02,0.0,0.0,0.0,
2020-02-03,0.0,0.0,0.0,
2020-02-04,0.0,0.0,0.0,
2020-02-05,0.0,0.0,0.0,
2020-02-06,0.0,0.0,0.0,
2020-02-07,0.0,0.0,0.0,
2020-02-08,0.0,0.0,0.0,
2020-02-09,0.0,0.0,0.0,
2020-02-10,0.0,0.0,0.0,
2020-02-11,0.0,0.0,0.0,
2020-02-12,0.0,0.0,0.0,
2020-02-13,0.0,0.0,0.0,
2020-02-14,0.0,0.0,0.0,
2020-02-15,0.0,0.0,0.0,
2020-02-16,0.0,0.0,0.0,
2020-02-17,0.0,0.0,0.0,
2020-02-18,0.0,0.0,0.0,
2020-02-19,0.0,0.0,0.0,
2020-02-20,0.0,0.0,0.0,
2020-02-21,0.0,0.0,0.0,
2020-02-22,0.0,0.0,0.0,
2020-02-23,0.0,0.0,0.0,
2020-02-24,0.0,0.0,0.0,
2020-02-25,0.0,0.0,0.0,
2020-02-26,0.0,0.0,0.0,
2020-02-27,0.0,0.0,0.0,
2020-02-28,0.0,0.0,0.0,
2020-02-29,0.0,0.0,0.0,
2020-03-01,0.0,0.0,0.0,
2020-03-02,0.0,0.0,0.0,
2020-03-03,1.0,0.0,0.0,
2020-03-04,1.0,0.0,0.0,
2020-03-05,2.0,0.0,0.0,
2020-03-06,5.0,0.0,0.0,
2020-03-07,5.0,0.0,0.0,
2020-03-08,7.0,0.0,0.0,
2020-03-09,11.0,0.0,0.0,0.13712291
2020-03-10,21.0,0.0,0.0,0.15598933
2020-03-11,21.0,0.0,0.0,0.15116382
2020-03-12,31.0,0.0,0.0,0.15530461
2020-03-13,55.0,0.0,0.0,0.17384686
2020-03-14,86.0,0.0,0.0,0.20866899
2020-03-15,103.0,0.0,0.0,0.24097656
2020-03-16,103.0,0.0,0.0,0.27748412
2020-03-17,133.0,0.0,0.0,0.31922144
2020-03-18,171.0,0.0,0.0,0.3861452
2020-03-19,238.0,0.0,0.0,0.47959638
2020-03-20,274.0,0.0,0.0,0.5641813
2020-03-21,344.0,0.0,0.0,0.6375458
2020-03-22,392.0,0.0,0.0,0.70398027
2020-03-23,511.0,0.0,0.0,0.81179184
2020-03-24,562.0,0.0,0.0,0.9095519
2020-03-25,767.0,1.0,0.0,1.0426812
2020-03-26,900.0,2.0,0.0,1.1611727
2020-03-27,1012.0,3.0,0.0,1.2956555
2020-03-28,1104.0,3.0,0.0,1.4281526
2020-03-29,1203.0,4.0,0.0,1.5760962
2020-03-30,1299.0,8.0,0.0,1.6815622
2020-03-31,1453.0,8.0,0.0,1.8114148
2020-04-01,1563.0,10.0,0.0,1.8403769
2020-04-02,1720.0,16.0,0.0,1.8503547
2020-04-03,1885.0,21.0,0.0,1.8475703
2020-04-04,2039.0,25.0,0.0,1.8469937
2020-04-05,2179.0,29.0,0.0,1.8391933
2020-04-06,2402.0,34.0,0.0,1.8738058
2020-04-07,2605.0,38.0,0.0,1.9030855
2020-04-08,2795.0,41.0,0.0,2.0068355
2020-04-09,2932.0,41.0,0.0,2.1143572
2020-04-10,3287.0,44.0,0.0,2.2762942
2020-04-11,3651.0,47.0,0.0,2.480266
2020-04-12,4033.0,52.0,0.0,2.7389858
2020-04-13,4462.0,59.0,0.0,3.0051987
2020-04-14,4934.0,65.0,0.0,3.3021748
2020-04-15,5369.0,73.0,0.0,3.619056
2020-04-16,5862.0,79.0,0.0,4.008736
2020-04-17,6380.0,83.0,0.0,4.358263
2020-04-18,7142.0,87.0,0.0,4.759576
2020-04-19,8274.0,92.0,0.0,5.244454
2020-04-20,9362.0,97.0,0.0,5.8238115
2020-04-21,10484.0,103.0,0.0,6.4877048
2020-04-22,11631.0,109.0,0.0,7.2070794
2020-04-23,12772.0,114.0,0.0,7.990026
2020-04-24,13930.0,121.0,0.0,8.863924
2020-04-25,15102.0,127.0,0.0,9.716254
2020-04-26,16299.0,136.0,0.0,10.451646
2020-04-27,17522.0,139.0,0.0,11.077468
2020-04-28,18811.0,144.0,0.0,11.559873
2020-04-29,20077.0,152.0,0.0,11.981217
2020-04-30,21402.0,157.0,0.0,12.284841
2020-05-01,22753.0,162.0,0.0,12.448377
2020-05-02,24097.0,169.0,0.0,12.473782
2020-05-03,25459.0,176.0,0.0,12.430809
2020-05-04,27011.0,184.0,0.0,12.372364
2020-05-05,28656.0,191.0,0.0,12.339331
2020-05-06,30251.0,200.0,0.0,12.190076
2020-05-07,31938.0,209.0,0.0,12.010111
2020-05-08,33731.0,219.0,0.0,11.892371
2020-05-09,35432.0,229.0,0.0,11.826392
2020-05-10,37136.0,239.0,0.0,11.752685
2020-05-11,39048.0,246.0,0.0,11.661514
2020-05-12,41014.0,255.0,0.0,11.573155
2020-05-13,42925.0,264.0,0.0,11.589759
2020-05-14,44830.0,273.0,0.0,11.591166
2020-05-15,46869.0,283.0,0.0,11.547183
2020-05-16,49176.0,292.0,0.0,11.3058605
2020-05-17,52016.0,302.0,0.0,11.254349
2020-05-18,54752.0,312.0,0.0,11.281701
2020-05-19,57345.0,320.0,0.0,11.311857
2020-05-20,59854.0,329.0,0.0,11.391875
2020-05-21,62545.0,339.0,0.0,11.590798
2020-05-22,65077.0,351.0,0.0,11.856238
2020-05-23,67719.0,364.0,0.0,12.682123
2020-05-24,70161.0,379.0,0.0,13.260465
2020-05-25,72560.0,390.0,0.0,13.715769
2020-05-26,74795.0,399.0,0.0,14.151105
2020-05-27,76726.0,411.0,0.0,14.409473
2020-05-28,78541.0,425.0,0.0,14.457303
2020-05-29,80185.0,441.0,0.0,14.322728
2020-05-30,81766.0,458.0,0.0,13.744106
2020-05-31,83384.0,480.0,0.0,13.207131
2020-06-01,85261.0,503.0,0.0,12.673175
2020-06-02,87142.0,525.0,0.0,12.073679
2020-06-03,89011.0,549.0,0.0,11.563605
2020-06-04,91182.0,579.0,0.0,11.151985
2020-06-05,93157.0,611.0,0.0,10.845662
2020-06-06,95748.0,642.0,0.0,10.637146
2020-06-07,98869.0,676.0,0.0,10.617037
2020-06-08,101914.0,712.0,0.0,10.698232
2020-06-09,105283.0,746.0,0.0,10.927833
2020-06-10,108571.0,783.0,0.0,11.223123
2020-06-11,112288.0,819.0,0.0,11.613569
2020-06-12,116021.0,857.0,0.0,12.273613
2020-06-13,119942.0,893.0,0.0,13.131954
2020-06-14,123308.0,932.0,0.0,13.86129
2020-06-15,127541.0,972.0,0.0,14.702765
2020-06-16,132048.0,1011.0,0.0,15.546013
2020-06-17,136315.0,1052.0,0.0,16.28579
2020-06-18,141234.0,1091.0,0.0,17.08297
2020-06-19,145991.0,1139.0,0.0,17.602793
2020-06-20,150292.0,1184.0,0.0,17.702328
2020-06-21,154233.0,1230.0,0.0,17.67788
2020-06-22,157612.0,1267.0,0.0,17.31548
2020-06-23,161005.0,1307.0,0.0,16.679964
2020-06-24,164144.0,1346.0,0.0,15.949856
2020-06-25,167267.0,1387.0,0.0,14.879351
2020-06-26,170639.0,1428.0,0.0,13.636015
2020-06-27,174577.0,1474.0,0.0,12.530965
2020-06-28,178504.0,1511.0,0.0,11.495981
2020-06-29,182493.0,1551.0,0.0,10.57107
2020-06-30,186436.0,1599.0,0.0,9.856058
2020-07-01,190823.0,1649.0,0.0,9.274572
2020-07-02,194225.0,1698.0,0.0,8.892316
2020-07-03,197608.0,1752.0,0.0,8.684237
2020-07-04,201801.0,1802.0,0.0,8.541633
2020-07-05,205929.0,1858.0,0.0,8.412372
2020-07-06,209509.0,1916.0,0.0,8.344241
2020-07-07,213716.0,1968.0,0.0,8.195393
2020-07-08,217108.0,2017.0,0.0,8.002133
2020-07-09,220144.0,2059.0,0.0,7.76581
2020-07-10,223327.0,2100.0,0.0,7.5566783
2020-07-11,226486.0,2151.0,0.0,7.322847
2020-07-12,229480.0,2181.0,0.0,7.0665145
2020-07-13,232259.0,2223.0,0.0,6.777566
2020-07-14,235111.0,2243.0,0.0,6.4824514
2020-07-15,237803.0,2283.0,0.0,6.2001853
2020-07-16,240474.0,2325.0,0.0,5.9359374
2020-07-17,243238.0,2370.0,0.0,5.632696
2020-07-18,245851.0,2407.0,0.0,5.3369417
2020-07-19,248416.0,2447.0,0.0,5.105837
2020-07-20,250920.0,2486.0,0.0,4.874055
2020-07-21,253349.0,2523.0,0.0,4.700914
2020-07-22,255825.0,2557.0,0.0,4.557305
2020-07-23,258156.0,2601.0,0.0,4.454975
2020-07-24,260394.0,2635.0,0.0,4.389618
2020-07-25,262772.0,2672.0,0.0,4.326823
2020-07-26,264973.0,2703.0,0.0,4.2577085
2020-07-27,266941.0,2733.0,0.0,4.192099
2020-07-28,268934.0,2760.0,0.0,4.1020064
2020-07-29,270831.0,2789.0,0.0,4.0050435
2020-07-30,272590.0,2816.0,0.0,3.8712087
2020-07-31,274219.0,2842.0,0.0,3.7294827
2020-08-01,275905.0,2866.0,0.0,3.60919
2020-08-02,277478.0,2887.0,0.0,3.4882717
2020-08-03,278835.0,2917.0,0.0,3.3857048
2020-08-04,280093.0,2949.0,0.0,3.2964332
2020-08-05,281435.0,2984.0,0.0,3.1943312
2020-08-06,282824.0,3020.0,0.0,3.1098998
2020-08-07,284226.0,3055.0,0.0,3.0124235
2020-08-08,285793.0,3093.0,0.0,2.8909326
2020-08-09,287262.0,3130.0,0.0,2.7590184
2020-08-10,288690.0,3167.0,0.0,2.6355622
2020-08-11,289947.0,3199.0,0.0,2.5159416
2020-08-12,291468.0,3233.0,0.0,2.4171958
2020-08-13,293037.0,3269.0,0.0,2.3301556
2020-08-14,294519.0,3303.0,0.0,2.2685091
2020-08-15,295902.0,3338.0,0.0,2.2246778
2020-08-16,297315.0,3369.0,0.0,2.2000525
2020-08-17,298542.0,3408.0,0.0,2.1720362
2020-08-18,299914.0,3436.0,0.0,2.1635256
2020-08-19,301323.0,3470.0,0.0,2.1626744
2020-08-20,302686.0,3506.0,0.0,2.1578736
2020-08-21,303973.0,3548.0,0.0,2.1496687
2020-08-22,305186.0,3580.0,0.0,2.147925
2020-08-23,306370.0,3619.0,0.0,2.1359546
2020-08-24,307479.0,3649.0,0.0,2.127543
2020-08-25,308654.0,3691.0,0.0,2.106505
2020-08-26,309768.0,3722.0,0.0,2.0719738
2020-08-27,310836.0,3755.0,0.0,2.032961
2020-08-28,311855.0,3785.0,0.0,1.9924334
2020-08-29,312924.0,3813.0,0.0,1.9566433
2020-08-30,313911.0,3840.0,0.0,1.9311268
2020-08-31,314821.0,3870.0,0.0,1.906864
2020-09-01,315772.0,3897.0,0.0,1.883084
2020-09-02,316670.0,3929.0,0.0,1.8721828
2020-09-03,317486.0,3956.0,0.0,1.8652194
2020-09-04,318319.0,3982.0,0.0,1.8568344
2020-09-05,319141.0,4015.0,0.0,1.831267
2020-09-06,319932.0,4049.0,0.0,1.7990534
2020-09-07,320827.0,4081.0,0.0,1.7683605
2020-09-08,321456.0,4107.0,0.0,1.73133
2020-09-09,322237.0,4137.0,0.0,1.6922083
2020-09-10,323012.0,4165.0,0.0,1.65391
2020-09-11,323720.0,4189.0,0.0,1.6220894
2020-09-12,324407.0,4213.0,0.0,1.6008035
2020-09-13,325050.0,4240.0,0.0,1.5792409
2020-09-14,325651.0,4268.0,0.0,1.5433521
2020-09-15,326258.0,4305.0,0.0,1.5165473
2020-09-16,326930.0,4338.0,0.0,1.480844
2020-09-17,327551.0,4369.0,0.0,1.4455802
2020-09-18,328144.0,4399.0,0.0,1.403997
2020-09-19,328720.0,4430.0,0.0,1.3579755
2020-09-20,329271.0,4458.0,0.0,1.3145342
2020-09-21,329754.0,4485.0,0.0,1.2818214
2020-09-22,330246.0,4512.0,0.0,1.2480367
2020-09-23,330798.0,4542.0,0.0,1.2210912
2020-09-24,331359.0,4569.0,0.0,1.2018536
2020-09-25,331857.0,4599.0,0.0,1.1881896
2020-09-26,332329.0,4625.0,0.0,1.1811147
2020-09-27,332790.0,4655.0,0.0,1.1748655
2020-09-28,333193.0,4683.0,0.0,1.1680874
2020-09-29,333648.0,4712.0,0.0,1.1629579
2020-09-30,334187.0,4739.0,0.0,1.1574093
2020-10-01,334605.0,4768.0,0.0,1.1343367
2020-10-02,335097.0,4794.0,0.0,1.107812
2020-10-03,335578.0,4823.0,0.0,1.0794389
2020-10-04,335997.0,4850.0,0.0,1.0507321
2020-10-05,336387.0,4875.0,0.0,1.0257003
2020-10-06,336766.0,4898.0,0.0,0.9963845
2020-10-07,337243.0,4923.0,0.0,0.9673681
2020-10-08,337711.0,4947.0,0.0,0.9525275
2020-10-09,338132.0,4972.0,0.0,0.9382611
2020-10-10,338539.0,4996.0,0.0,0.9230645
2020-10-11,338944.0,5018.0,0.0,0.91088706
2020-10-12,339267.0,5043.0,0.0,0.8965162
2020-10-13,339615.0,5068.0,0.0,0.88615537
2020-10-14,340089.0,5087.0,0.0,0.876171
2020-10-15,340590.0,5108.0,0.0,0.86664885
2020-10-16,341062.0,5127.0,0.0,0.8617158
2020-10-17,341495.0,5144.0,0.0,0.86054665
2020-10-18,341854.0,5165.0,0.0,0.85636353
2020-10-19,342202.0,5185.0,0.0,0.85384876
2020-10-20,342583.0,5201.0,0.0,0.85396737
2020-10-21,342968.0,5217.0,0.0,0.85202914
2020-10-22,343373.0,5235.0,0.0,0.84449553
2020-10-23,343774.0,5250.0,0.0,0.83035886
